                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2101,                 11.086,                0.69194,                 1.5421,                 1.4191,                0.80885,                0.70791,                0.78923,                 0.5617,                      0,                      0,                      0,                      0,                 1.0392,                 10.861,                   0.68,                 1.2115,                 1.2694,             0.00065306,             0.00065306,             0.00065306
                      2,                 0.9373,                 10.365,                0.65693,                0.74276,                 1.1586,                0.87347,                0.82734,                0.89976,                0.67068,                      0,                      0,                      0,                      0,                0.91899,                 10.461,                0.65656,                0.87388,                 1.2057,              0.0013132,              0.0013132,              0.0013132
                      3,                0.96512,                 9.8443,                0.63349,                0.74446,                  1.161,                0.90293,                0.86993,                0.92028,                0.67865,                      0,                      0,                      0,                      0,                0.93988,                 10.124,                0.62602,                0.96648,                 1.2245,              0.0019667,              0.0019667,              0.0019667
                      4,                0.93076,                 9.4512,                 0.6176,                0.71583,                 1.1437,                0.94543,                0.83885,                 0.9228,                0.70077,                      0,                      0,                      0,                      0,                0.88934,                 9.4089,                0.61021,                0.73494,                 1.1716,              0.0019703,              0.0019703,              0.0019703
                      5,                0.94597,                 9.0404,                0.61318,                 0.7278,                 1.1593,                0.91138,                0.84342,                0.92133,                0.69699,                  0.046,                0.02734,                0.00335,                0.00042,                0.87427,                 8.5867,                0.59356,                0.74009,                 1.1601,              0.0019703,              0.0019703,              0.0019703
                      6,                0.87488,                 8.6074,                0.60173,                0.65855,                 1.1195,                0.91127,                0.79856,                0.89194,                0.65015,                0.11361,                0.05036,                0.01392,                0.00172,                 1.0107,                 8.4562,                0.59254,                0.83089,                  1.259,              0.0019604,              0.0019604,              0.0019604
                      7,                 0.8761,                 8.4129,                0.58869,                0.65242,                 1.1219,                0.92904,                0.86655,                  0.934,                0.72082,                0.14994,                 0.0705,                0.02448,                0.00423,                 0.8594,                 8.1058,                0.58499,                0.60782,                 1.1842,              0.0019505,              0.0019505,              0.0019505
                      8,                0.87007,                  8.072,                0.57396,                0.61941,                 1.1145,                0.95616,                 0.8964,                0.94595,                0.72342,                  0.127,                0.09928,                0.01945,                0.00405,                0.84734,                 7.3944,                0.57741,                0.56965,                 1.1485,              0.0019406,              0.0019406,              0.0019406
                      9,                0.85265,                 8.0682,                0.56617,                0.61273,                 1.0982,                0.95104,                0.86642,                 0.9478,                 0.7438,                0.24532,                0.11223,                0.06441,                 0.0149,                0.78439,                 7.3818,                0.57317,                0.56257,                 1.0969,              0.0019307,              0.0019307,              0.0019307
                     10,                0.83135,                  7.599,                0.55875,                0.59796,                 1.0879,                0.96904,                0.90085,                0.95988,                0.74696,                0.24521,                0.15613,                  0.062,                0.01238,                0.82375,                 6.9601,                0.57102,                0.54106,                 1.1088,              0.0019208,              0.0019208,              0.0019208
                     11,                0.83853,                  7.437,                0.55424,                0.59152,                 1.0795,                0.93121,                0.91367,                0.95316,                 0.7357,                0.24833,                0.18993,                0.06796,                0.01574,                0.81769,                 6.7506,                0.56971,                0.55464,                 1.1194,              0.0019109,              0.0019109,              0.0019109
                     12,                0.81081,                 7.1034,                0.54073,                0.57951,                 1.0754,                0.94768,                0.83165,                0.91811,                 0.7172,                0.32637,                0.17266,                0.09075,                0.02242,                0.81601,                 7.1468,                0.55042,                0.59539,                 1.1113,               0.001901,               0.001901,               0.001901
                     13,                  0.828,                 6.9977,                0.53793,                0.58627,                 1.0912,                0.96568,                0.90216,                0.94412,                0.74721,                 0.3044,                0.21583,                0.10207,                0.02318,                0.78663,                 6.5186,                0.54757,                0.52974,                  1.092,              0.0018911,              0.0018911,              0.0018911
