                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.45724,                 2.3383,                0.35056,                0.29721,                0.90079,                0.97824,                 0.9554,                0.98049,                0.83929,                0.64839,                0.57698,                0.53036,                0.27203,                0.63345,                 3.1192,                0.45282,                0.33977,                 1.0055,             0.00065306,             0.00065306,             0.00065306
                      1,                 0.5002,                 2.6437,                0.35977,                0.33137,                0.90977,                0.98509,                0.95093,                0.98337,                0.82356,                0.64675,                0.57554,                0.50275,                0.21046,                0.64785,                  3.375,                0.41069,                 0.3681,                 1.0085,              0.0013067,              0.0013067,              0.0013067
                      2,                0.53999,                 2.9111,                 0.3656,                0.36404,                0.92769,                0.98205,                0.94449,                0.98336,                0.82025,                0.63224,                0.56115,                0.49044,                0.20196,                0.66245,                 3.4459,                 0.4336,                0.38193,                 1.0249,              0.0019471,              0.0019471,              0.0019471
                      3,                0.56569,                 3.0583,                0.36749,                0.38265,                0.93552,                0.97828,                0.94676,                0.97267,                0.81557,                 0.6364,                0.53381,                0.48946,                0.20824,                0.67146,                 3.5549,                0.43566,                0.40943,                 1.0248,              0.0019406,              0.0019406,              0.0019406
                      4,                 0.6154,                 3.1901,                0.37968,                0.40855,                0.96003,                0.97806,                0.92086,                0.96166,                 0.7921,                0.61084,                  0.533,                0.44084,                0.18119,                 0.6851,                 3.5205,                0.44847,                0.41725,                  1.016,              0.0019406,              0.0019406,              0.0019406
                      5,                0.57082,                 3.0812,                 0.3736,                 0.3855,                 0.9481,                0.96663,                0.93094,                0.97573,                0.81332,                0.60041,                0.52751,                0.43494,                0.18379,                0.67116,                 3.5216,                0.44951,                0.40905,                 1.0104,              0.0019208,              0.0019208,              0.0019208
                      6,                0.59038,                  3.203,                0.37261,                0.39321,                0.95172,                0.96186,                0.94339,                0.97163,                0.79687,                0.59528,                0.51511,                0.38845,                0.14252,                0.73506,                 3.8773,                0.44931,                 0.4217,                 1.0711,               0.001901,               0.001901,               0.001901
                      7,                0.58881,                 3.1078,                0.36881,                0.38683,                0.94995,                0.97696,                0.93813,                0.97982,                 0.8213,                0.65857,                0.55971,                 0.5071,                0.21757,                0.67775,                 3.3829,                0.42233,                0.39517,                 1.0235,              0.0018812,              0.0018812,              0.0018812
                      8,                0.59346,                 3.2326,                0.37847,                0.38123,                0.95026,                0.97578,                0.93957,                 0.9733,                0.80817,                0.63698,                0.53957,                0.48409,                0.22636,                0.67865,                 3.4034,                0.43323,                0.38574,                 1.0178,              0.0018614,              0.0018614,              0.0018614
                      9,                0.56065,                  2.906,                0.36822,                0.37321,                 0.9374,                0.98756,                0.92662,                0.97289,                0.80653,                0.63933,                0.54676,                0.48698,                0.20038,                0.68448,                  3.516,                0.43806,                0.38991,                 1.0373,              0.0018416,              0.0018416,              0.0018416
                     10,                0.56758,                 3.0448,                0.36937,                0.36889,                0.93479,                0.98461,                0.93957,                0.97619,                0.81742,                0.62415,                0.54964,                0.49017,                0.22627,                0.67203,                 3.3086,                0.44534,                0.38155,                 1.0205,              0.0018218,              0.0018218,              0.0018218
                     11,                0.58363,                 3.0595,                0.36989,                0.38592,                0.94693,                0.96743,                0.91655,                  0.969,                 0.8098,                0.63431,                0.53659,                0.47857,                0.20216,                 0.6946,                 3.4675,                0.42993,                 0.3938,                 1.0531,               0.001802,               0.001802,               0.001802
                     12,                0.58291,                 3.0042,                0.36751,                0.38462,                0.94981,                0.97846,                0.94245,                0.97781,                 0.8218,                0.64358,                0.57266,                0.50291,                0.21448,                0.66446,                 3.3406,                0.42673,                 0.3718,                 1.0132,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.5625,                 2.9947,                0.36865,                0.37015,                0.93943,                0.98398,                0.94245,                0.98166,                0.82346,                0.64277,                0.56835,                0.50258,                0.22855,                0.66509,                 3.3056,                0.45016,                0.37132,                  1.026,              0.0017624,              0.0017624,              0.0017624
                     14,                0.56718,                 2.7947,                0.36308,                0.36672,                0.94557,                0.97821,                0.94388,                  0.976,                0.81766,                0.64093,                0.56978,                0.50604,                0.22845,                0.66527,                 3.1817,                0.43071,                0.37162,                 1.0308,              0.0017426,              0.0017426,              0.0017426
                     15,                0.56775,                 2.9266,                0.37644,                0.37396,                0.94124,                0.97245,                0.94388,                0.98093,                0.81281,                0.64063,                0.56259,                0.48725,                0.21331,                0.66623,                 3.2998,                0.44013,                0.38027,                 1.0215,              0.0017228,              0.0017228,              0.0017228
                     16,                0.56101,                 2.8895,                 0.3686,                 0.3677,                0.93497,                0.97638,                0.95154,                0.97802,                0.81521,                0.65057,                0.56403,                0.49234,                0.22296,                0.66077,                 3.3127,                0.43137,                0.37866,                 1.0097,               0.001703,               0.001703,               0.001703
                     17,                0.56304,                 2.9363,                 0.3706,                0.37053,                0.93416,                0.97619,                0.94372,                0.97925,                0.83164,                0.65205,                0.56691,                0.50801,                0.23159,                0.62031,                 3.2367,                0.43842,                 0.3578,                0.98843,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.5736,                 2.9798,                0.36896,                0.37146,                  0.948,                0.97749,                0.93709,                0.97175,                0.80631,                0.64606,                0.56691,                0.48422,                0.21257,                0.66097,                 3.2041,                0.43694,                 0.3866,                 1.0215,              0.0016634,              0.0016634,              0.0016634
                     19,                0.55928,                 2.8174,                0.37223,                 0.3638,                0.93883,                0.97491,                 0.9506,                 0.9749,                0.81799,                0.66721,                 0.5741,                0.51004,                0.21698,                0.65106,                 3.1585,                 0.4342,                0.38063,                  1.012,              0.0016436,              0.0016436,              0.0016436
                     20,                0.56277,                 2.8273,                0.35188,                0.36948,                0.93595,                0.98025,                0.94388,                0.98077,                0.83116,                 0.6618,                0.58129,                0.55927,                0.25955,                0.65277,                 3.0665,                0.42207,                0.36261,                 1.0258,              0.0016238,              0.0016238,              0.0016238
                     21,                0.54197,                 2.8356,                0.36091,                0.35477,                0.93315,                0.96786,                 0.9533,                  0.983,                0.82744,                0.65763,                0.56656,                0.52625,                0.25755,                0.64026,                 3.0796,                 0.4241,                0.36197,                 1.0057,               0.001604,               0.001604,               0.001604
                     22,                 0.5361,                 2.6187,                0.35346,                0.34519,                0.92111,                0.98244,                0.95683,                0.98069,                0.82692,                0.66156,                0.59424,                0.53902,                  0.264,                0.64226,                 2.9803,                0.41687,                0.35889,                 1.0177,              0.0015842,              0.0015842,              0.0015842
                     23,                0.54292,                 2.7062,                0.35063,                0.35345,                0.92977,                0.98222,                0.95358,                0.98107,                0.83121,                 0.6569,                0.58993,                0.53988,                0.25791,                0.65333,                 3.0506,                0.41448,                0.35479,                  1.015,              0.0015644,              0.0015644,              0.0015644
                     24,                0.53908,                 2.7699,                0.35673,                0.35215,                0.92983,                0.97056,                0.95108,                0.97671,                0.81897,                0.67751,                0.58993,                0.52064,                0.24359,                0.66121,                 3.1234,                0.43495,                0.36069,                 1.0226,              0.0015446,              0.0015446,              0.0015446
                     25,                0.53591,                 2.6188,                 0.3476,                0.34942,                0.92945,                0.97849,                 0.9482,                0.98181,                0.83783,                0.65434,                0.58561,                0.56715,                0.28226,                0.63849,                 2.9859,                0.41887,                0.35139,                 1.0063,              0.0015248,              0.0015248,              0.0015248
                     26,                0.52557,                 2.6251,                0.34064,                0.33988,                0.91748,                 0.9753,                 0.9554,                 0.9803,                0.83489,                0.67346,                    0.6,                0.55219,                0.26152,                0.62903,                 3.0291,                 0.4089,                0.34546,                 1.0012,               0.001505,               0.001505,               0.001505
                     27,                0.52836,                 2.7199,                0.34688,                 0.3488,                0.92749,                0.97213,                0.94676,                0.98063,                0.83487,                0.67158,                0.58273,                0.56271,                0.27563,                0.63201,                 3.1844,                0.47311,                0.34803,                0.99674,              0.0014852,              0.0014852,              0.0014852
                     28,                0.53976,                 2.6934,                0.35059,                0.34439,                0.93105,                0.98063,                0.94721,                0.97884,                 0.8396,                0.67744,                0.60863,                0.58368,                 0.2883,                0.62952,                 2.9913,                0.41632,                0.34535,                0.99528,              0.0014654,              0.0014654,              0.0014654
                     29,                0.52708,                 2.6838,                0.35014,                0.34475,                0.93019,                0.98065,                0.94798,                0.98182,                0.84098,                0.66708,                0.59103,                0.57634,                0.28274,                0.63239,                 3.0615,                0.40358,                0.35318,                0.99501,              0.0014456,              0.0014456,              0.0014456
                     30,                0.52974,                 2.6914,                0.34566,                0.34797,                0.92755,                0.98119,                0.94388,                0.97743,                0.83115,                0.67125,                0.58849,                0.55866,                0.26809,                0.63684,                 3.1428,                0.40383,                0.35851,                 1.0004,              0.0014258,              0.0014258,              0.0014258
                     31,                0.52798,                 2.6572,                0.34732,                0.34181,                0.91947,                0.96756,                0.96259,                0.97789,                0.83876,                0.67783,                0.61439,                0.57652,                0.26778,                0.62026,                 3.0091,                0.39288,                0.34512,                0.98876,               0.001406,               0.001406,               0.001406
