                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2057,                 11.073,                0.69071,                 1.5537,                 1.4194,                0.83611,                 0.7781,                0.86365,                0.65343,                      0,                      0,                      0,                      0,                0.91953,                 10.791,                0.66643,                0.83641,                 1.2176,             0.00065306,             0.00065306,             0.00065306
                      1,                0.93107,                 10.334,                0.65226,                0.71872,                 1.1465,                0.89802,                0.85755,                0.92268,                0.68166,                  8e-05,                0.00144,                  4e-05,                      0,                0.98078,                 10.396,                0.64944,                0.91331,                 1.2541,              0.0013132,              0.0013132,              0.0013132
                      2,                 0.9319,                 9.7923,                0.63219,                 0.7309,                  1.151,                0.91259,                 0.8518,                 0.9194,                0.69653,                      0,                      0,                      0,                      0,                0.94942,                 9.8038,                0.61524,                0.90044,                 1.2567,              0.0019667,              0.0019667,              0.0019667
                      3,                0.92511,                 9.4371,                0.61727,                0.71087,                 1.1494,                 0.9443,                0.85371,                0.92088,                0.66723,                 0.0039,                0.00288,                0.00014,                  1e-05,                0.99244,                 9.3736,                0.60302,                0.84865,                 1.2607,              0.0019703,              0.0019703,              0.0019703
                      4,                0.93184,                 8.9521,                 0.6087,                0.70354,                 1.1473,                0.87943,                0.79763,                0.89364,                0.66962,                0.00382,                0.00288,                 0.0001,                  1e-05,                0.90449,                 8.9878,                 0.5967,                 1.0395,                  1.176,              0.0019703,              0.0019703,              0.0019703
                      5,                0.87279,                  8.587,                0.59456,                0.65023,                 1.1184,                0.92294,                0.86168,                0.92922,                0.71278,                0.02821,                0.01727,                0.00087,                0.00015,                 0.8485,                 8.4373,                0.58799,                0.82847,                 1.1444,              0.0019604,              0.0019604,              0.0019604
                      6,                0.86965,                 8.2787,                0.58053,                0.63884,                 1.1124,                0.95494,                0.85899,                0.93265,                0.71842,                0.11921,                0.07338,                0.01243,                 0.0021,                0.88184,                 7.8549,                0.57639,                0.60776,                 1.1754,              0.0019505,              0.0019505,              0.0019505
                      7,                0.86383,                 7.9368,                0.56894,                0.61973,                 1.1129,                0.93063,                0.84173,                 0.9162,                0.70918,                0.09279,                0.06187,                0.01031,                0.00147,                0.86379,                 7.8711,                  0.569,                0.77409,                 1.1485,              0.0019406,              0.0019406,              0.0019406
                      8,                0.87372,                 7.7671,                0.56131,                0.62581,                 1.1136,                0.95116,                0.86862,                0.93326,                 0.7195,                0.17442,                0.11079,                0.03244,                0.00474,                0.84119,                 7.3643,                  0.564,                0.67553,                 1.1304,              0.0019307,              0.0019307,              0.0019307
                      9,                0.82513,                   7.31,                0.55085,                0.60041,                 1.0901,                0.95064,                0.91457,                0.95804,                0.75841,                 0.2521,                0.16403,                0.07254,                0.01469,                0.77892,                 6.8992,                0.55406,                0.53465,                 1.1109,              0.0019208,              0.0019208,              0.0019208
                     10,                0.82041,                 7.1969,                0.55219,                0.58069,                 1.0824,                0.96031,                0.90514,                0.96104,                0.73836,                0.22195,                0.17266,                0.06673,                0.01761,                0.83155,                 6.7531,                0.55914,                0.54678,                 1.1473,              0.0019109,              0.0019109,              0.0019109
                     11,                0.81578,                 6.9757,                0.54078,                0.57611,                  1.082,                0.94872,                0.88058,                0.94364,                0.74478,                0.28896,                0.19424,                0.08933,                0.02553,                0.82072,                 6.9276,                0.54191,                0.55673,                 1.1366,               0.001901,               0.001901,               0.001901
                     12,                0.83963,                 6.7764,                0.54048,                0.59418,                  1.102,                 0.9409,                0.85612,                0.92574,                0.70516,                0.31136,                0.18561,                0.10242,                0.02291,                0.88923,                 6.8448,                0.55193,                0.63574,                 1.1574,              0.0018911,              0.0018911,              0.0018911
                     13,                0.80552,                 6.5749,                0.54356,                0.56598,                 1.0785,                0.96449,                0.89887,                0.96069,                0.76918,                0.29723,                0.20144,                0.10518,                0.02463,                0.76139,                 6.1859,                0.54537,                0.49621,                 1.0876,              0.0018812,              0.0018812,              0.0018812
                     14,                0.81219,                 6.4137,                0.52406,                0.56098,                 1.0868,                0.96064,                0.91296,                0.95522,                0.76111,                0.33114,                0.26906,                0.12618,                0.03025,                0.75954,                 5.9253,                0.54229,                0.50395,                 1.0806,              0.0018713,              0.0018713,              0.0018713
                     15,                 0.7828,                 6.3632,                0.53657,                0.55586,                 1.0667,                 0.9592,                0.88777,                0.94797,                0.74574,                0.31363,                 0.2472,                0.11844,                0.02971,                0.78878,                 5.9881,                0.55554,                 0.5418,                 1.0887,              0.0018614,              0.0018614,              0.0018614
