                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.092,                 10.785,                  0.686,                 1.2023,                  1.322,                 0.8784,                0.79712,                0.88384,                0.64026,                      0,                      0,                      0,                      0,                0.95247,                 10.022,                 0.6529,                 1.0378,                 1.2119,             0.00065306,             0.00065306,             0.00065306
                      1,                 0.8513,                 9.5343,                0.64605,                0.61687,                 1.0998,                0.91617,                0.83341,                0.91483,                0.68108,                      0,                      0,                      0,                      0,                0.93207,                 9.8458,                0.62474,                0.94933,                 1.1875,              0.0013067,              0.0013067,              0.0013067
                      2,                0.86839,                 8.7778,                0.62788,                0.63645,                  1.104,                0.88245,                0.79856,                0.89095,                0.65638,                 0.0013,                0.00144,                  3e-05,                      0,                 0.9537,                 8.9691,                0.60552,                 1.0848,                 1.2663,              0.0019471,              0.0019471,              0.0019471
                      3,                0.81698,                 8.1502,                0.60544,                0.60527,                 1.0787,                0.95182,                0.90957,                0.95564,                0.74335,                0.01258,                0.00863,                0.00079,                0.00025,                0.80357,                 8.3718,                0.60044,                0.56276,                  1.128,              0.0019406,              0.0019406,              0.0019406
                      4,                0.85176,                  7.544,                0.59955,                0.60557,                 1.0973,                0.94716,                0.87692,                0.94785,                0.74627,                0.08857,                0.04317,                0.00967,                0.00188,                0.79967,                 7.7287,                0.58588,                0.58072,                 1.1053,              0.0019406,              0.0019406,              0.0019406
                      5,                0.80444,                 6.9625,                0.58258,                0.57207,                 1.0735,                0.95336,                0.83741,                0.91849,                0.71222,                0.23074,                0.14245,                 0.0542,                0.01083,                0.83883,                 7.1343,                0.56946,                0.77105,                 1.1357,              0.0019208,              0.0019208,              0.0019208
                      6,                0.80128,                 6.6832,                0.57234,                0.57058,                  1.067,                0.95207,                0.88609,                0.94854,                0.73749,                0.23529,                0.19137,                0.06571,                0.01263,                0.78899,                 6.3714,                0.57415,                0.61947,                 1.0809,               0.001901,               0.001901,               0.001901
                      7,                0.80032,                 6.2671,                0.55699,                0.55966,                 1.0707,                0.95033,                 0.9084,                0.95803,                0.75295,                0.33952,                0.24408,                0.15135,                0.03713,                0.83418,                 6.0502,                0.56057,                0.53575,                 1.1422,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.8013,                 6.1433,                0.55103,                0.55534,                 1.0713,                0.96277,                0.89065,                0.94359,                0.74889,                0.36008,                0.26043,                0.14801,                0.04348,                0.80235,                 5.7548,                0.56738,                0.61366,                 1.0914,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.7592,                 5.6282,                 0.5414,                0.52768,                 1.0434,                0.94771,                0.88633,                0.94257,                0.74417,                0.37144,                0.26763,                0.17353,                0.04748,                0.83216,                 5.6785,                0.56567,                0.59934,                 1.1067,              0.0018416,              0.0018416,              0.0018416
                     10,                0.75741,                 5.6408,                 0.5411,                0.51203,                 1.0392,                0.94381,                0.90791,                0.96237,                0.76961,                0.45115,                0.35252,                0.21069,                0.06708,                0.75739,                 5.1212,                 0.5409,                0.58012,                 1.0616,              0.0018218,              0.0018218,              0.0018218
                     11,                0.74278,                 5.3581,                0.52678,                0.51321,                 1.0392,                0.95128,                0.92518,                0.96512,                0.77776,                0.45592,                0.35252,                0.22244,                0.06963,                0.74048,                 5.0828,                0.53959,                0.47918,                 1.0596,               0.001802,               0.001802,               0.001802
                     12,                0.76685,                 5.2543,                0.52658,                0.53339,                 1.0532,                 0.9376,                0.68633,                0.78793,                 0.5948,                0.51499,                0.22302,                0.18042,                0.05022,                 1.0896,                 6.5659,                0.57118,                 1.2569,                  1.316,              0.0017822,              0.0017822,              0.0017822
                     13,                0.73609,                 5.2058,                0.52429,                0.50272,                 1.0384,                0.97666,                0.91079,                0.96288,                0.78524,                0.48317,                0.36978,                0.29253,                0.08917,                 0.7493,                 4.9032,                0.52947,                0.46238,                 1.0759,              0.0017624,              0.0017624,              0.0017624
                     14,                0.72822,                 4.9846,                 0.5135,                  0.483,                 1.0316,                0.97255,                 0.9295,                0.96206,                0.78703,                0.49843,                0.37842,                0.29052,                0.09741,                0.71936,                 4.7337,                0.53997,                0.45339,                 1.0518,              0.0017426,              0.0017426,              0.0017426
                     15,                0.70381,                 4.9158,                0.52175,                0.47497,                 1.0221,                 0.9802,                0.92614,                0.96384,                0.77753,                0.51433,                0.38129,                0.31784,                0.11785,                0.78677,                 4.6542,                 0.5286,                0.46864,                 1.0842,              0.0017228,              0.0017228,              0.0017228
                     16,                0.71473,                 4.7622,                0.51036,                0.47377,                 1.0168,                0.97459,                0.91655,                 0.9725,                0.78521,                 0.5376,                0.42491,                 0.3299,                0.11555,                0.72776,                 4.4028,                0.52037,                0.44312,                 1.0513,               0.001703,               0.001703,               0.001703
                     17,                 0.7078,                 4.6332,                0.50658,                0.46522,                 1.0096,                0.96093,                0.92001,                0.96401,                0.79033,                0.53106,                0.42692,                 0.3205,                0.10909,                0.70546,                 4.3579,                0.51663,                 0.4405,                 1.0362,              0.0016832,              0.0016832,              0.0016832
                     18,                0.70156,                 4.6018,                0.49922,                0.46462,                 1.0194,                 0.9758,                0.93094,                0.97055,                0.79898,                0.50718,                0.41151,                0.33613,                0.11935,                0.70071,                 4.2164,                0.51277,                 0.4144,                 1.0335,              0.0016634,              0.0016634,              0.0016634
                     19,                0.69275,                 4.4109,                0.50071,                0.44937,                 1.0085,                0.97873,                0.92693,                0.96644,                 0.7925,                0.52948,                0.44527,                0.32648,                0.10981,                0.71338,                 4.2377,                0.51119,                0.43864,                 1.0302,              0.0016436,              0.0016436,              0.0016436
                     20,                0.69269,                 4.5031,                0.48788,                0.46528,                 1.0029,                 0.9781,                0.89784,                0.96463,                0.78378,                0.53709,                0.40719,                0.32805,                0.12367,                0.71035,                 4.3363,                 0.5077,                0.43881,                 1.0312,              0.0016238,              0.0016238,              0.0016238
                     21,                0.68284,                 4.3264,                0.48539,                0.45679,                 1.0074,                0.98062,                 0.9295,                0.97193,                 0.8044,                0.56335,                0.46187,                0.39029,                0.14779,                0.69025,                 3.9379,                0.50023,                0.41325,                 1.0249,               0.001604,               0.001604,               0.001604
                     22,                0.67147,                 4.1781,                0.48222,                0.44097,                  0.994,                0.96585,                0.93603,                0.97309,                0.80109,                0.55338,                 0.4705,                0.35209,                0.13334,                0.69199,                 4.0069,                0.50179,                0.40889,                 1.0289,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.6735,                 4.1493,                0.47641,                0.44342,                 1.0006,                0.96405,                0.92607,                0.96774,                0.79665,                0.57677,                 0.4705,                0.38539,                0.14897,                0.69337,                 4.0538,                 0.5033,                0.43246,                 1.0413,              0.0015644,              0.0015644,              0.0015644
                     24,                0.67192,                 4.2781,                 0.4741,                0.44916,                0.99929,                0.96594,                0.93857,                 0.9709,                0.78801,                0.56515,                0.47482,                0.37886,                0.14103,                0.73686,                 4.0392,                0.49937,                0.41771,                 1.0662,              0.0015446,              0.0015446,              0.0015446
                     25,                0.67389,                  4.106,                0.47028,                0.44153,                 1.0023,                0.97017,                 0.9223,                0.97338,                0.80883,                0.58303,                0.48345,                0.39233,                 0.1462,                0.67588,                 3.9563,                0.49245,                0.43104,                 1.0143,              0.0015248,              0.0015248,              0.0015248
                     26,                0.65654,                  3.893,                0.45743,                 0.4289,                0.98526,                 0.9808,                 0.9295,                0.96688,                0.80241,                0.59255,                0.49928,                0.41123,                0.15673,                0.68116,                 3.7976,                0.48742,                0.41193,                 1.0259,               0.001505,               0.001505,               0.001505
                     27,                0.65609,                 4.0589,                0.45645,                0.43514,                0.99377,                0.98022,                0.92709,                0.97106,                0.80665,                0.59163,                0.51279,                0.42684,                 0.1671,                0.68094,                 3.8108,                 0.4863,                0.40152,                 1.0272,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.6639,                  3.981,                0.45633,                0.43077,                0.99214,                0.98474,                 0.9295,                0.97618,                0.81551,                0.60855,                0.50935,                0.46113,                0.20293,                0.66387,                 3.7061,                0.49136,                 0.3947,                 1.0076,              0.0014654,              0.0014654,              0.0014654
                     29,                0.64651,                 3.9126,                0.45074,                 0.4208,                0.99256,                0.96628,                0.94245,                0.97109,                0.80024,                0.59271,                0.48921,                0.41259,                0.15723,                0.68141,                 3.8282,                0.48116,                0.39724,                 1.0328,              0.0014456,              0.0014456,              0.0014456
                     30,                0.63115,                 3.8736,                0.45173,                0.41164,                0.98715,                0.97761,                0.94235,                0.97244,                0.81068,                0.57549,                0.48764,                0.41343,                0.16983,                0.66594,                  3.854,                0.47969,                0.38671,                 1.0165,              0.0014258,              0.0014258,              0.0014258
                     31,                0.63497,                 3.8433,                0.44851,                0.40829,                0.97751,                0.96923,                0.94101,                0.97397,                 0.8086,                0.57509,                0.51511,                0.40723,                0.16655,                0.66338,                 3.7022,                0.48162,                0.38888,                 1.0119,               0.001406,               0.001406,               0.001406
                     32,                0.64192,                 3.8357,                0.44708,                 0.4187,                0.98368,                0.96727,                0.93558,                0.97318,                0.80785,                0.61952,                0.53525,                0.43324,                0.17218,                0.65771,                 3.6631,                0.47108,                0.39466,                 1.0071,              0.0013862,              0.0013862,              0.0013862
                     33,                0.61006,                 3.6442,                0.44506,                0.40062,                0.96286,                 0.9762,                0.94676,                0.97602,                0.82235,                0.60894,                0.52651,                0.45084,                0.19075,                0.65685,                 3.6018,                0.48541,                0.37864,                 1.0107,              0.0013664,              0.0013664,              0.0013664
                     34,                0.61574,                 3.6328,                0.44478,                0.38965,                0.96732,                0.97031,                0.94044,                 0.9719,                 0.8162,                0.60078,                 0.5295,                0.46251,                0.19392,                0.66956,                 3.5811,                0.47023,                0.39643,                 1.0116,              0.0013466,              0.0013466,              0.0013466
                     35,                0.60651,                 3.5893,                0.43895,                0.39285,                0.96156,                0.96609,                0.94297,                0.97737,                0.82061,                0.59886,                0.53813,                 0.4279,                0.17157,                0.63515,                 3.5252,                0.46231,                0.37381,                0.98691,              0.0013268,              0.0013268,              0.0013268
                     36,                0.59674,                 3.6062,                 0.4423,                0.38692,                0.95356,                0.96661,                 0.9482,                0.97936,                0.81335,                0.59235,                0.52518,                0.40018,                0.15268,                0.65183,                 3.5939,                 0.4607,                0.37733,                0.99758,               0.001307,               0.001307,               0.001307
                     37,                0.60638,                 3.6734,                0.44466,                0.39825,                0.96994,                0.97912,                0.94473,                0.97615,                0.81524,                0.60027,                 0.5337,                 0.4474,                0.19019,                0.66397,                 3.5163,                0.46593,                  0.392,                 1.0074,              0.0012872,              0.0012872,              0.0012872
                     38,                0.61374,                 3.5951,                0.43258,                0.39177,                0.96831,                0.96838,                0.93813,                0.97793,                0.82526,                 0.6221,                0.54952,                 0.4924,                0.19897,                0.65513,                 3.6033,                0.46231,                0.37392,                 1.0046,              0.0012674,              0.0012674,              0.0012674
                     39,                0.60771,                 3.5659,                0.42982,                0.39222,                0.96951,                0.97149,                0.93153,                0.97673,                0.82627,                0.62153,                0.53525,                0.48856,                 0.2225,                0.64439,                 3.4805,                0.46561,                0.36662,                 1.0004,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.6139,                 3.4002,                0.42109,                 0.3961,                0.97574,                 0.9762,                0.94413,                0.97871,                0.82363,                0.62555,                0.56403,                0.50286,                0.21025,                0.64709,                 3.3748,                0.45843,                0.36818,                 1.0008,              0.0012278,              0.0012278,              0.0012278
                     41,                0.59772,                 3.4053,                0.42049,                0.38425,                0.96415,                0.97659,                0.94964,                0.97615,                0.83573,                0.62306,                0.55179,                0.50085,                0.21906,                 0.6347,                  3.407,                0.45475,                0.36133,                0.99742,               0.001208,               0.001208,               0.001208
